,q,mus,mu,sigma
0,0.9500000000000001,"[412.49625178 412.08892478 411.20224951 412.13287811 411.25319156
 411.97586204 409.91865398 411.04756286 410.93237001 411.3604906 ]",411.4408435232913,0.7160953513279333
1,0.9000000000000001,"[410.8376415  412.76468364 410.80820834 408.37917819 411.15896114
 410.06560558 409.43127415 410.180787   411.66855653 411.45258315]",410.6747479217909,1.1691981068849258
2,0.8500000000000001,"[414.75858433 411.48289514 412.33589254 409.31493075 410.20346918
 411.58142974 410.44418692 411.22521048 411.70774552 413.2974374 ]",411.6351781985333,1.485294242011616
3,0.8,"[411.56780157 413.32734943 411.46219684 410.7540228  412.72712361
 409.18880116 410.94077532 413.69527364 412.88276106 409.88695003]",411.64330554554533,1.4209060034328451
4,0.7500000000000001,"[408.22359521 410.37396962 411.71771497 409.44137294 412.19429962
 410.56792552 414.2454575  412.68495138 412.09822883 411.21572654]",411.27632421505785,1.628464306515215
5,0.7000000000000001,"[412.44482099 410.88759269 409.11736567 408.1908558  412.42456402
 407.93403886 411.55778652 409.51324293 411.52506167 411.70278007]",410.52981092242663,1.61386588265476
6,0.6500000000000001,"[411.20485062 412.84536046 407.509682   409.47790531 407.7093459
 409.1550546  412.14429494 410.80348632 411.51031773 410.3714604 ]",410.2731758276688,1.699982937100302
7,0.6000000000000001,"[408.95794908 409.39491807 410.08308849 413.09614766 407.29896092
 410.3562778  410.18614118 410.34800861 412.14298457 412.09566574]",410.39601421164525,1.613668428879983
8,0.55,"[412.55271441 410.81531747 408.39581214 411.01370497 410.38039298
 409.04309353 410.88522947 411.92073965 412.3201427  410.13424032]",410.7461387636225,1.2707951376601112
9,0.5,"[410.40980684 411.24793482 410.54372729 410.66038376 408.18144895
 410.89586231 409.28128365 409.38126651 408.78017722 410.72258634]",410.01044776917945,0.973402159974392
10,0.45,"[409.31788508 413.03345525 411.56615776 412.83505457 410.16079284
 412.41888713 410.17347852 408.95184783 408.14075891 409.8770941 ]",410.64754119876517,1.626096258018707
11,0.4,"[409.97064521 409.47151253 409.9789411  412.22335392 410.24972909
 411.2152995  410.99445425 411.28743348 410.08681287 408.84734556]",410.4325527507788,0.9420604264239522
12,0.35000000000000003,"[410.88945992 407.73701554 409.1382822  409.27245343 407.08569114
 409.29407416 410.42822056 407.62122061 410.62016077 410.65012043]",409.27366987643325,1.324738174531171
13,0.3,"[407.84415524 410.1160015  409.34252815 409.06883382 410.40629131
 408.90661526 408.25692412 408.75237749 410.83676079 406.5583982 ]",409.0088885887186,1.2098625617392358
14,0.25,"[410.67081416 410.21031454 408.66307608 409.79551987 408.99876782
 410.88535978 408.38937104 410.09229432 410.27491155 407.86093891]",409.5841368071045,0.9815350224246243
15,0.2,"[409.27674999 409.57541068 407.76186145 410.05609635 409.29282921
 406.45343113 408.77096067 410.67338071 408.05938748 409.91872016]",408.9838827838719,1.1918741368742267
16,0.15000000000000002,"[407.96207904 409.74073561 407.20375494 408.27805045 408.52430395
 406.81897491 407.89888602 409.63254945 410.26346526 408.72938699]",408.5052186624828,1.0578702544020417
17,0.1,"[407.78971002 409.03294217 409.05673359 408.248684   408.63520344
 408.69593495 409.02982652 408.17201323 409.58456026 408.25290922]",408.64985174042727,0.5117990374053311
18,0.05,"[408.95651362 409.82952846 408.18312042 408.47476353 408.39946299
 408.81989459 407.35536187 407.06005117 406.86089766 408.18868551]",408.212827982121,0.867875854273052
