week,p2.5,p25,median,p75,p97.5
0,0.0,1.0,1.0,1.0,2.0
1,5.5,5.5,6.25,6.875,7.0
2,0.29,0.6,0.8,0.8,1.155
3,0.225,1.0,1.0,1.75,3.775
4,1.5,1.667,1.917,2.0,2.667
5,0.0,0.125,0.5,0.875,1.775
6,0.0,0.417,0.833,1.0,1.517
7,0.075,0.75,1.167,1.917,2.258
8,2.67,3.8,4.0,4.4,4.91
9,0.0,0.2,0.2,0.35,0.755
10,0.384,0.545,0.591,0.705,0.798
11,0.167,0.25,0.667,0.833,1.0
12,1.2,1.25,1.7,2.15,2.4
13,0.0,0.4,0.6,0.75,0.955
14,0.8,1.05,1.4,2.0,2.355
15,0.656,1.0,1.111,1.306,1.592
16,0.0,0.25,0.375,0.5,0.75
17,0.0,0.036,0.143,0.143,0.143
18,0.045,0.2,0.3,0.4,0.6
19,0.306,0.5,0.75,0.75,0.944
20,0.167,0.167,0.167,0.167,0.333
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,2.333,2.333,2.333,2.333,2.592
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.25,1.0,1.0,1.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.375,0.5
32,0.0,0.0,0.0,0.0,0.0
